지역,의료,교통,환경,총점
성남시,50.0,14.021040875012837,13.182751540041068,77.2037924150539
고양시,50.0,12.571800862688715,11.73716632443532,74.30896718712404
수원시,25.0,10.025482694875217,9.034907597535936,44.06039029241115
안산시,25.0,9.147542877683065,9.519507186858318,43.667050064541385
포천시,25.0,10.70057512580877,5.06776180698152,40.76833693279029
파주시,25.0,7.152498202731848,7.564681724845997,39.717179927577845
의정부시,25.0,9.953540618260245,3.646817248459959,38.60035786672021
이천시,25.0,7.999204066961076,5.215605749486653,38.21480981644773
안성시,25.0,8.291439868542673,4.887063655030801,38.178503523573475
평택시,0.0,15.205466262709253,16.0,31.20546626270925
용인시,0.0,21.23076923076923,8.583162217659138,29.81393144842837
양평군,0.0,18.259846461949266,4.93634496919918,23.196191431148446
남양주시,0.0,14.86647581390572,6.792607802874745,21.659083616780464
화성시,0.0,7.252862791414193,13.724845995893226,20.97770878730742
김포시,0.0,5.227469959946595,9.338809034907598,14.566278994854194
시흥시,0.0,5.51928211974941,7.301848049281316,12.821130169030726
부천시,0.0,6.680176132278935,6.0451745379876805,12.725350670266614
가평군,0.0,7.9317294854678035,4.591375770020534,12.523105255488337
여주시,0.0,7.215235698880559,5.034907597535934,12.250143296416493
군포시,0.0,5.298487727226045,6.0041067761806985,11.302594503406745
양주시,0.0,2.0011682242990654,7.679671457905545,9.68083968220461
광주시,0.0,3.5847026804970725,5.593429158110883,9.178131838607955
안양시,0.0,6.984273903666428,2.168377823408625,9.152651727075053
동두천시,0.0,3.743260244428469,4.657084188911704,8.400344433340173
연천군,0.0,3.9737598849748386,4.2792607802874745,8.253020665262312
하남시,0.0,2.764609222553148,5.199178644763861,7.963787867317009
오산시,0.0,4.547833008113382,2.6940451745379876,7.241878182651369
구리시,0.0,4.774134743760912,2.004106776180698,6.778241519941609
광명시,0.0,4.063533429187635,1.7741273100616022,5.8376607392492375
의왕시,0.0,3.630263428160624,1.971252566735113,5.601515994895737
과천시,0.0,2.337616822429907,0.8049281314168379,3.1425449538467447
