,주소,역이름,소속지사
0,서울시 중구 한강대로 405,서울역,서울본부
1,서울특별시 용산구 한강대로 23길 55,용산역,서울본부
2,서울특별시 영등포구 경인로 846,영등포역,수도권광역본부
3,경기도 광명시 광명역로 21,광명역,수도권광역본부
4,서울특별시 동대문구 왕산로 214,청량리역,서울본부
5,경기도 안양시 만안구 만안로 244,안양역,수도권광역본부
6,서울특별시 중랑구 망우로 297,상봉역,수도권광역본부
7,경기도 수원시 팔달구 덕영대로 924 ,수원역,수도권광역본부
8,경기도 오산시 오산동 역광장로 59,오산역,수도권광역본부
9,경기도 평택시 탄현로 51,서정리역,수도권광역본부
10,경기도 평택시 평택로 51,평택역,수도권광역본부
11,충청남도 천안시 서북구 성환읍 성환1로 237-5,성환역,대전충청본부
12,경상남도 김해시 한림면 한림로372번길 20,한림정역,부산경남본부
13,충청남도 천안시 동남구 대흥로 239 ,천안역,대전충청본부
14,세종특별자치시 전의면 만세길 10 ,전의역,대전충청본부
15,세종특별자치시 조치원읍 으뜸길 215,조치원역,대전충청본부
16,세종특별자치시 부강면 청연로 90,부강역,대전충청본부
17,대전광역시 대덕구 신탄진로 807,신탄진역,대전충청본부
18,경상남도 김해시 진영읍 김해대로 809 ,진영역,부산경남본부
19,충청북도 청주시 흥덕구 오송읍 오송가락로 123,오송역,대전충청본부
20,충청북도 청주시 흥덕구 청주역로 363,청주역,대전충청본부
21,충청남도 아산시 배방읍 희망로 100 ,천안아산역,대전충청본부
22,대전광역시 동구 중앙로 215,대전역,대전충청본부
23,충청북도 청주시 청원구 토성로 443,오근장역,대전충청본부
24,충청북도 청주시 청원구 오창대로 980,청주공항역,대전충청본부
25,충청북도 증평군 증평읍 역전로 92,증평역,대전충청본부
26,충청북도 옥천군 옥천읍 옥천로 1624 ,옥천역,대전충청본부
27,충청북도 옥천군 이원면 이원역길 51,이원역,대전충청본부
28,충청북도 옥천군 이원면 지탄1길 28,지탄역,대전충청본부
29,충청북도 영동군 심천면 심천로5길 5,심천역,대전충청본부
30,충청북도 영동군 영동읍 계산로 87,영동역,대전충청본부
31,충청북도 음성군 음성읍 한불로 60 ,음성역,대전충청본부
32,충청북도 영동군 황간면 하옥포2길 14,황간역,대전충청본부
33,충청북도 충주시 주덕읍 신양로 138,주덕역,대전충청본부
34,충청북도 영동군 추풍령면 추풍령로 444,추풍령역,대전충청본부
35,경상남도 김해시 진례면 테크노밸리길 94,진례역,부산경남본부
36,경기도 남양주시 와부읍 덕소로 56,덕소역,수도권광역본부
37,충청북도 충주시 충원대로 539,충주역,대전충청본부
38,경상북도 김천시 김천로 111 ,김천역,대구경북본부
39,경상북도 상주시 공성면 산현1길 28,옥산역,대구경북본부
40,경상북도 상주시 청리면 청리중앙로 135-5,청리역,대구경북본부
41,경상북도 상주시 남문1길 24,상주역,대구경북본부
42,충청북도 충주시 산척면 삼여울길 108,삼탄역,대전충청본부
43,경상북도 구미시 구미중앙로 76,구미역,대구경북본부
44,경상북도 칠곡군 약목면 칠곡대로 635 ,약목역,대구경북본부
45,경상북도 칠곡군 왜관읍 중앙로8길 10,왜관역,대구경북본부
46,경상북도 칠곡군 지천면 신동로7길 37,신동역,대구경북본부
47,경상남도 창원시 의창구 상남로 381,창원중앙역,부산경남본부
48,대전광역시 중구 오류로 23,서대전역,대전충청본부
49,대구광역시 중구 태평로 161,대구역,대구경북본부
50,대구광역시 동구 동대구로 550 ,동대구역,대구경북본부
51,경상북도 경산시 중앙로 1,경산역,대구경북본부
52,경상북도 상주시 함창읍 가야로 3,함창역,대구경북본부
53,경기도 고양시 덕양구 소원로 102,행신역,서울본부
54,경상북도 청도군 화양읍 다로길 39 ,남성현역,대구경북본부
55,경상북도 경산시 하양읍 하양역길 1,하양역,대구경북본부
56,경상북도 청도군 청도읍 청화로 214,청도역,대구경북본부
57,경상남도 밀양시 상동면 금산7길 4 ,상동역,부산경남본부
58,경상남도 창원시 의창구 의창대로 67 ,창원역,부산경남본부
59,경상남도 밀양시 중앙로 62 ,밀양역,부산경남본부
60,경상북도 문경시 신흥로 170,점촌역,대구경북본부
61,경상북도 경주시 건천읍 신경주역로 80,신경주역,대구경북본부
62,경상남도 밀양시 삼랑진읍 천태로 72,삼랑진역,부산경남본부
63,경상남도 양산시 원동면 원동마을길 13,원동역,부산경남본부
64,경상남도 양산시 물금읍 황산로 347 ,물금역,부산경남본부
65,부산광역시 북구 학사로 135,화명역,부산경남본부
66,부산광역시 북구 구포만세길 82,구포역,부산경남본부
67,부산광역시 사상구 광장로 108,사상역,부산경남본부
68,부산광역시 부산진구 부전로 181 ,부전역,부산경남본부
69,울산광역시 울주군 삼남면 울산역로 177,울산역,부산경남본부
70,경남 창원시 마산회원구 마산역광장로18,마산역,부산경남본부
71,경상북도 예천군 개포면 방터길 7-11,개포역,대구경북본부
72,충청남도 아산시 배방읍 희망로 90,아산역,대전충청본부
73,경상북도 예천군 용궁면 용궁로 80,용궁역,대구경북본부
74,충청남도 계룡시 두마면 팥거리로 95,계룡역,대전충청본부
75,경상북도 예천군 예천읍 역전길 4,예천역,대구경북본부
76,경상남도 창원시 마산회원구 내서읍 함마대로 2803-3 ,중리역,부산경남본부
77,경상남도 함안군 함안면 진함로 1637,함안역,부산경남본부
78,부산광역시 기장군 기장읍 차성로288번길 86,기장역,부산경남본부
79,충청남도 아산시 온천대로 1496,온양온천역,대전충청본부
80,경상남도 함안군 군북면 의산삼일로 1992,군북역,부산경남본부
81,부산광역시 기장군 장안읍 좌천리 좌천로 40-13,좌천역,부산경남본부
82,충청남도 논산시 연산면 선비로275번길 31-2 ,연산역,대전충청본부
83,충청남도 논산시 해월로 236-12,논산역,대전충청본부
84,충청남도 아산시 도고면 온천대로 304,도고온천역,대전충청본부
85,충청남도 예산군 예산읍 신례원로212번길 19-12 ,신례원역,대전충청본부
86,울산광역시 울주군 온양읍 남창역길 40 ,남창역,부산경남본부
87,경기도 양평군 양평읍 역전길 30,양평역,수도권광역본부
88,울산광역시 울주군 청량읍 상남리 533-15,덕하역,부산경남본부
89,충청남도 논산시 강경읍 대흥로 1 ,강경역,대전충청본부
90,충청남도 예산군 예산읍 역전로 83,예산역,대전충청본부
91,경상남도 진주시 일반성면 일사로 787,반성역,부산경남본부
92,전라북도 익산시 함열읍 함열로 71,함열역,전북본부
93,울산광역시 남구 산업로 654 ,태화강역,부산경남본부
94,충청남도 예산군 삽교읍 삽교역로 101-14,삽교역,대전충청본부
95,경기도 양평군 용문면 용문역길 21,용문역,수도권광역본부
96,경기도 양평군 지평면 지평역길 32,지평역,수도권광역본부
97,경기도 양평군 지평면 망미리 1319-2,석불역,수도권광역본부
98,경기도 양평군 지평면 노곡길 2,일신역,수도권광역본부
99,울산광역시 북구 호계6길 30,호계역,부산경남본부
100,경기도 양평군 양동면 매월리 1031 ,매곡역,수도권광역본부
101,충청남도 홍성군 홍성읍 조양로 272,홍성역,대전충청본부
102,경기도 양평군 양동면 양동역길 19,양동역,수도권광역본부
103,경기도 양평군 양동면 삼산역길 193,삼산역,수도권광역본부
104,경상북도 경주시 산업로 3043-8,불국사역,대구경북본부
105,경상남도 진주시 개양로 116번길 33,진주역,부산경남본부
106,강원도 원주시 호저면 운동들2길 21-33,만종역,강원본부
107,경상남도 사천시 곤명면 경서대로 3435,완사역,부산경남본부
108,충청남도 홍성군 광천읍 광천로273번길 85,광천역,대전충청본부
109,경상남도 하동군 북천면 경서대로 2347,북천역,부산경남본부
110,경상북도 경주시 안강읍 비화원로 15-1,안강역,대구경북본부
111,충청남도 보령시 청소면 청소큰길 176,청소역,대전충청본부
112,강원도 원주시 북원로 1860,원주역,서울본부
113,광주광역시 광산구 목련로310-23,극락강역,광주전남본부
114,경상남도 하동군 횡천면 경서대로 998-12 ,횡천역,부산경남본부
115,부산광역시 동구 중앙대로 206,부산역,부산경남본부
116,충청남도 보령시 대해로 116 ,대천역,대전충청본부
117,경상남도 하동군 하동읍 너뱅이길 30 ,하동역,부산경남본부
118,전라남도 광양시 진상면 옥진로 1112,진상역,광주전남본부
119,전라남도 광양시 광양읍 해광로 800,광양역,광주전남본부
120,충청남도 보령시 웅천읍 방축길 151,웅천역,대전충청본부
121,충청북도 제천시 봉양면 주포로 8길 58,봉양역,대전충청본부
122,충청남도 서천군 판교면 저산길 8번,판교역,대전충청본부
123,충청북도 제천시 의림대로 1,제천역,대전충청본부
124,충청남도 서천군 서천읍 서천역길 57,서천역,대전충청본부
125,충청남도 서천군 마서면 장항역길 55,장항역,대전충청본부
126,전라북도 군산시 내흥2길 197,군산역,전북본부
127,충청북도 단양군 단양읍 단양로 896,단양역,대전충청본부
128,광주광역시 북구 무등로 235,광주역,광주전남본부
129,경상북도 포항시 북구 흥해읍 포항역로 1,포항역,대구경북본부
130,경상북도 영주시 풍기읍 인삼로 1,풍기역,대구경북본부
131,강원도 영월군 한반도면 용정원길 9,쌍용역,대전충청본부
132,경상북도 영주시 선비로 64,영주역,대구경북본부
133,강원도 영월군 영월읍 영월로 2106,영월역,대전충청본부
134,경상북도 봉화군 봉화읍 봉화로 1072-1 ,봉화역,대구경북본부
135,강원도 정선군 신동읍 함백로 55,예미역,대전충청본부
136,강원도 정선군 남면 무릉1로 128,민둥산역,대전충청본부
137,경상북도 봉화군 춘양면 운곡길 22-2 ,춘양역,대구경북본부
138,강원도 정선군 사북읍 지장천로 616-12,사북역,대전충청본부
139,경상북도 안동시 경동로 122-16,안동역,대구경북본부
140,강원도 정선군 고한읍 고한로166,고한역,대전충청본부
141,경상북도 봉화군 소천면 숲터길 58 ,임기역,대구경북본부
142,경상북도 봉화군 소천면 열람이길 55,현동역,대구경북본부
143,경상북도 봉화군 소천면 분천길 49,분천역,대구경북본부
144,강원도 태백시 서황지로 79,태백역,강원본부
145,경상북도 의성군 의성읍 문소3길 89-8 ,의성역,대구경북본부
146,경상북도 봉화군 석포면 승부길 1162-5,승부역,대구경북본부
147,경상북도 봉화군 석포면 석포로 134,석포역,대구경북본부
148,경상북도 의성군 금성면 탑리5길 31,탑리역,대구경북본부
149,전라북도 군산시 대야면 대야관통로 46-6,대야역,전북본부
150,강원도 태백시 동태백로 389,철암역,강원본부
151,경상북도 군위군 산성면 산성가음로 711-9,화본역,대구경북본부
152,강원도 태백시 동태백로 984,동백산역,강원본부
153,경상북도 영천시 신녕면 장수로 1587,신녕역,대구경북본부
154,전라북도 익산시 익산대로 153,익산역,전북본부
155,전라북도 김제시 두월로 198번지,김제역,전북본부
156,경상북도 영천시 장수로 61,북영천역,대구경북본부
157,전라북도 완주군 삼례읍 삼례역로 85-32,삼례역,전북본부
158,강원도 삼척시 도계로 222,도계역,강원본부
159,전라북도 정읍시 신태인읍 정신로 1163번지,신태인역,전북본부
160,경상북도 영천시 금완로 98 ,영천역,대구경북본부
161,전라북도 정읍시 서부산업도로 305,정읍역,전북본부
162,전라북도 전주시 덕지구 동부대로 680번지,전주역,전북본부
163,경상북도 경주시 건천읍 내서로 1038-18,건천역,대구경북본부
164,전라남도 장성군 북이면 백양로 2-14,백양사역,광주전남본부
165,강원도 삼척시 신기역길 89,신기역,강원본부
166,경상북도 경주시 현곡면 용담로 198-5,서경주역,대구경북본부
167,전라북도 임실군 임실읍 춘향로 2932 ,임실역,전북본부
168,전라남도 장성군 장성읍 역전로 87,장성역,광주전남본부
169,강원도 동해시 동해역길 69,동해역,강원본부
170,경상북도 경주시 원화로 266,경주역,대구경북본부
171,전라북도 임실군 오수면 충효로 1967-19,오수역,전북본부
172,강원도 동해시 해안로 520,묵호역,강원본부
173,전라북도 남원시 교룡로 71,남원역,전북본부
174,강원도 강릉시 강동면 정동역길 17,정동진역,강원본부
175,전라남도 곡성군 곡성읍 곡성로 920 ,곡성역,광주전남본부
176,전라남도 순천시 황전면 섬진강로 217 ,구례구역,광주전남본부
177,전라남도 순천시 팔마로 135,순천역,광주전남본부
178,전라남도 보성군 벌교읍 채동선로 228,벌교역,광주전남본부
179,전라남도 보성군 조성면 조성4길 14,조성역,광주전남본부
180,전라남도 보성군 득량면 예당역전길 19,예당역,광주전남본부
181,전라남도 여수시 시청로 200,여천역,광주전남본부
182,전라남도 보성군 득량면 역전길 28,득량역,광주전남본부
183,전라남도 여수시 망양로 2,여수엑스포역,광주전남본부
184,전라남도 보성군 보성읍 현충로 90,보성역,광주전남본부
185,전라남도 보성군 노동면 예재로 384 ,명봉역,광주전남본부
186,전라남도 화순군 이양면 이양로 134 ,이양역,광주전남본부
187,전라남도 화순군 능주면 학포로 1896-10 ,능주역,광주전남본부
188,전라남도 화순군 화순읍 오성로 488-5,화순역,광주전남본부
189,광주광역시 남구 효천길 5,효천역,광주전남본부
190,광주광역시 서구 풍서좌로 203,서광주역,광주전남본부
191,광주광역시 광산구 상무대로 201,광주송정역,광주전남본부
192,전라남도 나주시 나주역길 56,나주역,광주전남본부
193,전라남도 나주시 다시면 다시로 218 ,다시역,광주전남본부
194,전남 함평군 학교면 영산로 3530,함평역,광주전남본부
195,전라남도 무안군 몽탄면 우명길 16-32,무안역,광주전남본부
196,전라남도 무안군 몽탄면 몽탄로 869 ,몽탄역,광주전남본부
197,전라남도 무안군 삼향읍 국사로 5-11,일로역,광주전남본부
198,전라남도 목포시 임성로 62번길 18,임성리역,광주전남본부
199,전남 목포시 영산로 98,목포역,광주전남본부
200,강원도 강릉시 용지로 176 ,강릉역,강원본부
201,충청남도 공주시 이인면 새빛로 100 ,공주역,대전충청본부
202,부산광역시 해운대구 장산로 427,신해운대역,부산경남본부
203,경상북도 포항시 북구 청하면 월포로 137,월포역,대구경북본부
204,강원도 평창군 용평면 평창대로 1715,평창역,강원본부
205,강원도 횡성군 횡성읍 덕고로 591,횡성역,강원본부
206,강원도 평창군 진부면 송정길 120,진부(오대산)역,강원본부
207,경상북도 영덕군 남정면 진불2길 26,장사역,대구경북본부
208,경상북도 영덕군 영덕읍 중앙길 29,영덕역,대구경북본부
209,경상북도 영덕군 강구면 강산로 67,강구역,대구경북본부
210,경상북도 김천시 남면 혁신1로 51,김천(구미),대구경북본부
211,강원도 횡성군 둔내면 자포곡리 429-1,둔내역,강원본부
212,부산광역시 해운대구 해운대로 210,센텀역,부산경남본부
213,강원도 원주시 지정로 145,서원주역,서울본부
214,경상북도 봉화군 소천면 분천리 113-2,양원(영동선)역,대구경북본부
215,,,
216,,,
217,,,
