,시설명,주소
1,서울시니어스 서울타워,중구 다산로 72
2,서울시니어스 강서타워,강서구 공항대로 315
3,정동상림원,중구 정동길 21-31
4,후성누리움,강동구 명일로135
5,시니어캐슬클라,은평구 은평로 21길 34-5
6,서울시니어스 가양타워,강서구 화곡로 68길 102
7,노블레스타워,성북구 종암로 90
8,하이원빌리지,용산구 한강대로40가길 24
9,더클래식500,광진구 능도로 90
10,상암카이져팰리스,마포구 월드컵북로47길 37
11,서울시니어스 강남타워,강남구 자곡로 100-2
12,더시그넘하우스,강남구 자곡로 204-25
13,유당마을,수원시 장안구 수일로 191번길 26
14,미리내 실버타운,안성시 양성면 미리내성지로 386-27
15,삼성노블카운티,용인시 기흥구 덕영대로 1751
16,서울시니어스 분당타워,성남시 분당구 구미로 173번길 47
17,수동시니어타운,남양주시 수동면 비룡로 801-88
18,정원속궁전,성남시 분당구 불정로 112
19,청심빌리지,가평군 설악면 미사리로 191-16
20,성남시 아리움,성남시 중원구 광명로 46
21,더 헤리티지,성남시 분당구 대왕판교로 155
22,블루밍더클래식,하남시 하남대로 770
23,광교 아르데코,수원시 영통구 광교로 42번길 80
24,안성크리스챤휴빌리지,안성시 양성면 미리내성지로 274-31
25,광교 두산위브,수원시 영통구 광교 중앙로 55
26,엔젤아크,성남시 중원구 시민로 6번길20
27,스프링카운티자이,기흥구 동백죽전대로 333
28,에버그린센터,남양주시 수동면 비룡로 1782번길 160
29,생명의빛 홈타운,가평군 설악면 봉미산안길 335
30,마리스텔라,서구 심곡로100번길 31
31,사이언스빌리지,유성구 대덕대로 522
32,밀마루복지마을,"세종시 보듬1로 16, 1층"
33,공주원로원,공주시 연수원길 47-30
34,동해약천온천실버타운,동해시 석두골길 145 (망상동)
35,김제노인전용주택,김제시 하동1길 79-1
36,내장산 실버아파트,정읍시금붕1길 190
37,옥성골든카운티,전주시 완산구 중인1길 136-20
38,서울시니어스 고창타워,고창군 고창읍석정2로 140
39,월명성모의집 노인복지주택,김천시 남면 주천로 1448-16
40,일붕실버랜드,의령군 궁류면 청정로1180-42
41,흰돌실버타운,수영구 연수로 260번길 53
